Title,Corp,Condition,Location,Tag,Link
화장품 브랜드 마케터 정규직 직원 모십니다.,에이치컴바인드(주),신입·경력학력무관정규직,서울강남구,"IMC, 마케팅, 브랜드마케팅, 전자상거래 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44464531
[더블엑스코퍼레이션] 영상팀 컨텐츠 영상팀 영상편집 PD 정규직,(주)더블엑스코퍼레이션,경력무관학력무관정규직,경기성남시 수정구,"영상편집, 영상제작, 촬영, 영상자막, 조명 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44457001
[중견코스닥] 프리커서 합성 개발 경력직,커리어서포트,경력3년↑석사↑정규직,서울금천구,"연구원, 기술연구, 신소재, 반도체, 반도체 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44460766
산업용 설비 전기설비/유지보수 팀장급 경력직,페리투스이큅먼트(주),"경력고졸↑정규직5,000 만원",경기하남시,"PLC, 파쇄기/분쇄기, 전기설비, 환경플랜트, 메카트로닉스 외 등록일 22/09/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44058757
[중견코스닥]  전략기획팀장 모집,커리어서포트,경력10년↑대졸↑정규직,서울금천구,"기획, 전략기획, 사업기획, M&A, 시장조사 외 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44460798
HRM담당/국내대기업/2년이상,(주)커리어앤유,경력 2~8년대졸↑정규직,경기성남시 분당구,"HRM, 인사, 평가/보상, 복리후생, 서치펌 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465926
"시스템엔지니어 경력, 신입 채용합니다 - 정규직",인콤정보통신(주),신입·경력초대졸↑정규직,서울구로구,"유지보수, C#, C++, 솔루션, 네트워크 외 등록일 22/09/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44055279
평일 주 1회 off)목동튼튼통증의학과에서 방사선사선생님 구인,목동튼튼마취통증의학과,경력무관초대졸↑정규직,서울양천구,"방사선사, 병원·진료, 정형외과 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44461471
HR 평가보상담당/8년이상/그룹계열사,(주)커리어앤유,경력 8~15년대졸↑정규직,서울서초구,"인사, 인사기획, 평가/보상, 서치펌 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465955
Account Manager/IT Sales   (현대그룹 담당),(주)에이치티엘엠에이치알,경력 10~20년대졸↑정규직,경기성남시 분당구,"영업, SI영업, 서치펌, 헤드헌팅 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44461809
[후루츠패밀리] Back-end Developer 백엔드 서버 개발자 (경력),(주)후루츠패밀리컴퍼니,경력6년↑학력무관정규직,서울용산구,"AWS, 백엔드/서버개발, TypeScript, Javascript, React 외 수정일 22/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44146914
외국계 화학기업 SCM/영어가능/계약직,(주)커리어앤유,경력2년↑학력무관기간제·계약직,서울강남구,"CS, SCM, SAP, 서치펌 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44466152
[법무법인태하] 송도지사 송무(경력직)채용,법무법인태하,경력무관학력무관정규직,인천연수구,"변호사, 법무법인 수정일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44147880
Data Scientist - Signal Processing (전문연구요원 가능),(주)원프레딕트,경력 2~10년대졸↑정규직,서울전체,"OracleDB, Spark, Hadoop, C++, 클라우드 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41895145
식품제조업체 생산직 모집,라이스파이,경력무관학력무관정규직270 만원,경기성남시 중원구,"Haccp, 제조, 생산, 단순생산직, 포장 외 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44459779
"두리시스템-기계설비, 설계업무 담당자",두리시스템,경력무관학력무관정규직,경기안산시 단원구,"CAD, CAM, 3D디자인, CAD, 제조 외 수정일 22/10/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44058652
TM 상담업무 / 신입 경력사원 환영 / 인천시청앞 / 3명,(주)제이티컴퍼니,신입·경력고졸↑정규직·아르바이트,인천남동구,"콜센터/고객센터, 아웃바운드, 복권발행 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44460803
[4.5일제][슈프리마그룹 슈프리마HQ] SW 개발자 모집,(주)슈프리마,경력2년↑대졸↑정규직,경기성남시 분당구,"C++, iOS, Android, Java, Linux 외 수정일 22/10/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44075356
[바이오코스닥] 브랜드전략팀 대리-과장급 모집,커리어서포트,경력4년↑대졸↑정규직,서울금천구,"마케팅, 건강보조식품, 바이오 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44460739
경영마케팅실의 경리회계(사무직) 경력 신입을 모집합니다.,㈜지트파워,경력무관학력무관정규직,서울금천구,"전산회계, 바이럴마케팅, 경리, 경리사무원, 솔루션업체 외 수정일 22/10/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44109168
부동산솔루션 영업지원 신입 경력 모집,㈜지트파워,경력무관학력무관정규직,서울금천구,"OracleDB, Java, 솔루션업체, 소프트웨어개발, SM 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44058439
메디칼 전문 (주)유티비 영업 경력 / 신입사원 채용 [정규직원],(주)유티비,경력무관초대졸↑정규직,경기성남시 중원구,"영업, 영업직, 수출입, 판매 수정일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44140162
(주)티오더 강남구 Front-End 엔지니어링 매니저/테크리드 채용,(주)티오더,경력 5~7년대졸↑정규직,서울강남구,"CSS, C++, React, Android, 프론트엔드 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44077563
America e-commerce expert (preferred English native speaker),(주)와드인터내셔널,경력학력무관계약직,서울강서구,"SNS마케팅, SNS, B2C, 마케팅, 온라인MD 외 수정일 22/10/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44145277
산업용 설비 전기설비/유지보수 정규직 경력직,페리투스이큅먼트(주),"경력고졸↑정규직4,500 만원",경기하남시,"PLC, 파쇄기/분쇄기, 전기설비, 환경플랜트, 메카트로닉스 외 등록일 22/09/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44058862
시니어 백엔드 개발자 (Sr. Backend Engineer),(주)원프레딕트,경력 4~10년학력무관정규직,서울전체,"API, 백엔드/서버개발, C++, Java, 웹개발 외 수정일 22/09/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43829017
[경영지원팀] 재무/총무 모집,(주)소풍인터내셔널,경력1년↑고졸↑정규직,서울강동구,"재무, 총무, 비품관리, 자산관리, 할인점 외 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44461502
반도체 Test Engineer,비전서치,경력 2~14년대졸↑정규직,서울송파구,"반도체, 디스플레이, 반도체, 디스플레이, LED·AMOLED 등록일 22/11/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44466810
네트워크 및 보안 신입/경력 엔지니어 모집합니다.,(주)코어인프라,경력무관학력무관정규직,경기의왕시,"정보보안, 네트워크, 기술지원, 방화벽, VPN 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44204879
iOS 개발자 경력직 모집,(주)골프존데카,경력 6~12년학력무관정규직,경기전체,"Objective-C, C++, iOS, Swift, 앱개발 외 등록일 22/07/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43506858
경력직 개발자 모집(프론트엔드/풀스택/ APP/SW/IT인프라),주식회사 엔젠바이오,경력 3~10년대졸↑정규직,서울구로구,"API, CSS, C#, 백엔드/서버개발, GCP 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44136100
[정규직] 기술영업팀 실험실 검사장비 및 의료기기 기술영업지원,(주)바이오메드,경력무관초대졸↑정규직,경기성남시 분당구,"유지보수, 제약/바이오, 기술영업, 식품, 네트워크 외 수정일 22/09/30",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44106233
(주)성훈레미콘 경리판매사무원 모집합니다,(주)성훈철강,경력무관초대졸↑정규직·계약직,경남진주시,"경리, 전표입력, 철강 등록일 22/10/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44265963
