Title,Corp,Condition,Location,Tag,Link
클라우드 보안 아키텍쳐 담당자,(주)야놀자,경력10년↑학력무관정규직,서울강남구,"Python, Java, AWS, 보안컨설팅, 정보보안 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44287690
이엔유와 함께 성장할 개발자를 모집합니다.,이엔유(주),"신입·경력초대졸↑정규직2,800 이상 (면접 후 협의)",대전유성구,"Python, Java, C++, 웹개발, 빅데이터 외 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44381037
반도체 생산 정보시스템 운영 중국 주재원 경력직 채용 (MES),(주)쓰리에치솔루션,경력3년↑초대졸↑정규직,중국.홍콩중국.홍콩,"Python, Java, C++, 빅데이터, Linux 외 등록일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44412030
[제주] 개발자 경력/신입 채용,(주)블로켓,경력무관학력무관정규직,제주제주시,"Python, AWS, 웹개발, 프론트엔드, CSS 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44390667
[블루시그넘] 서버 개발팀원을 모십니다,블루시그넘(주),신입·경력학력무관정규직,서울전체,"Python, 웹개발, 백엔드/서버개발, SE(시스템엔지니어), 클라우드 외 수정일 22/10/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44237982
빅데이터/AI 컨설팅 및 분석 연구원 채용,(주)데이터에듀,경력무관대졸↑정규직,부산해운대구,"빅데이터, 머신러닝, 딥러닝, 데이터분석가, 마케팅기획 외 등록일 22/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44118945
[단단광학] 기술연구소 광기계설계 부문 신입/경력 연구원 채용,(주)단단,경력무관대졸↑정규직,대전유성구,"연구원, R&D, R&D기획, 광학설계, 기술연구 외 수정일 22/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44026516
태경전자 드론운용팀채용,태경전자(주),경력1년↑학력무관정규직,경기안양시 동안구,"무인항공기/드론, Micom, 기구설계, 회로설계, 전기설계 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44135369
[상하농원] 경영지원(재무/전략/IT) 정규직 채용,상하농원(유),경력무관대졸↑정규직,전북고창군,"전략기획, 회계, 재무, 회계결산, 테마파크 등록일 22/10/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44295898
[모빌테크]인공지능 학습용 데이터 구축 사업 크라우드워커 모집,주식회사 모빌테크,경력무관학력무관계약직,서울서초구,"데이터라벨링, 소프트웨어개발 수정일 22/10/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44176778
257 스튜디오 채용공고,(주)비전홀딩스코퍼레이션,경력무관학력무관정규직,서울마포구,"포스트프로덕션, VFX, 애니메이션, 영어, 중국어 외 등록일 22/10/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44314105
코딩 정규 강사 채용 (대구캠퍼스),(주) 디랩 대구수성 아카데미,신입·경력대졸↑정규직,대구수성구,"Python, Java, C++, 알고리즘, 웹표준·웹접근성 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44342581
[유한건강생활] 데이터 분석/그로스 마케터 모집,(주)유한건강생활,경력3년↑대졸↑정규직·계약직,서울영등포구,"빅데이터, 데이터분석가, 데이터분석, 마케팅, HTML 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44378141
[토스뱅크] Credit Strategy Manager,(주)비바리퍼블리카,경력5년↑학력무관정규직,서울강남구,"대출심사, 일반은행, 특수은행, 저축은행, 금융기관 외 수정일 22/11/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44364411
신영증권 투자자문부 경력직원 채용공고,신영증권(주),경력학력무관정규직,서울영등포구,"증권사, 펀드, 증권사 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44317809
ICT‧바이오‧응용SW 분야 하이테크과정(4년제 대졸자) 교육생 모집 (취업률 100%),한국폴리텍대학 분당융합기술교육원,경력무관대졸↑교육생,경기성남시 분당구,"Python, 빅데이터, 데이터분석가, 앱개발, 유지보수 외 수정일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44397688
"2022 하반기 기자 신입, 경력 채용합니다",(주)동아사이언스,신입·경력대졸↑정규직,서울용산구,"기자, 에디터, 유튜브, 잡지, 잡지사 수정일 22/10/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44305359
