Title,Corp,Condition,Location,Tag,Link
펌웨어(임베디드) SW 개발자(경력자) 초빙,쿠노소프트,"경력1년↑초대졸정규직3,000 (면접 후 협의)",서울성북구,"Java, C++, 펌웨어, 임베디드, SI·시스템통합 수정일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44356619
"서버 / 리눅스 / AWS / Azure, 서버 및 네트워크 구축과 유지보수",성창 주식회사,"경력1년↑학력무관정규직3,000 (면접 후 협의)",충북청주시 흥덕구,"Python, AWS, Linux, 네트워크, 유지보수 외 수정일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44349982
"Wonder Code Korea 공고 [학원 교육행정, 코딩강사, 영어R&D]",(주)더에듀케이션,경력무관대졸↑정규직·파트,서울송파구,"교육행정, R&D, 파트강사, 학원강사, 어학원 외 수정일 22/11/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44121979
[타이드스퀘어] CRM마케터 채용,㈜타이드스퀘어,경력1년↑초대졸↑정규직,서울중구,"여행사, 항공사, 마케팅기획, 마케팅전략, 디지털마케팅 외 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44378066
"[원더코드코딩강사] 정규직, 파트 모집 (미취학, 초등 대상)",(주)더에듀케이션,경력무관대졸↑정규직·계약직,서울송파구,"IT강사, 컴퓨터교육, 영어, 코딩, IT학원 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44231604
[안산]프론트엔드/서버 개발자 모집,(주)에스씨인터내셔널,"경력 2~2년학력무관정규직6,000 만원",경기안산시 단원구,"Python, Java, 프론트엔드, Flutter, GCP 외 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44420296
[신입] 프론트엔드/백엔드 개발자 모집,(주)브릭,경력무관대졸↑정규직·계약직,경기성남시 분당구,"Python, Java, 웹개발, 백엔드/서버개발, 퍼블리셔 외 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44274043
(컴퓨터)프로그래밍 강사 및 국비훈련 교사 채용,(주)코리아아이티아카데미인천,경력무관학력무관정규직·계약직,인천부평구,"IT강사, IT학원 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44111185
그린컴퓨터아카데미 자바(JAVA) 직업훈련교사(강사) 채용,그린컴퓨터아카데미,경력무관초대졸↑정규직,울산남구,"Python, Java, 웹개발, 백엔드/서버개발, 프론트엔드 외 수정일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44072585
이엔유주식회사 소프트웨어 개발자 신입 인재 모집,이엔유주식회사,"신입초대졸정규직2,800 이상 (면접 후 협의)",대전유성구,"Python, Java, C++, 웹개발, 솔루션 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44381337
[코리아교육그룹] 웹개발(JAVA/SPRING) IT분야 훈련교강사 모집,(주)코리아아이티아카데미부산,경력무관학력무관정규직·프리랜서,부산부산진구,"Python, Java, 웹개발, 빅데이터, Linux 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44120902
[벤처기업](주)티카타카 개발 프로그래머(개발자)분을 모십니다,(주)티카타카,"경력1년↑학력무관정규직2,800 이상 (면접 후 협의)",부산해운대구,"Python, Java, 웹개발, jQuery, JSP 외 등록일 22/10/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44258513
"[휴먼교육센터] 직업훈련 소프트웨어개발(JAVA,SPRING) 강사채용",휴먼교육센터,경력무관초대졸↑정규직·계약직,충남천안시 동남구,"Python, Java, 웹개발, 백엔드/서버개발, 프론트엔드 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44450368
웹개발&서버·네트워크·보안 외 1개 부문 담당자 채용,(주)정원에스에프에이,경력무관초대졸↑정규직·계약직,서울구로구,"Python, Java, 웹개발, 백엔드/서버개발, 프론트엔드 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44117244
"데이터시각화, RPA, Azure 엔지니어 (신입/경력)",메이븐클라우드서비스(주),"경력무관대졸↑정규직3,700 만원",서울강남구,"Python, Java, C++, AWS, 빅데이터 외 수정일 22/09/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44089808
응용프로그래머 및 웹개발자 공개 채용,(주)오션소프트,경력무관학력무관정규직·계약직,대전유성구,"Python, Java, C++, 웹개발, 빅데이터 외 등록일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44353863
백엔드 개발자 채용,(주)쇼퍼하우스,신입·경력학력무관정규직·계약직,서울강남구,"Python, Java, AWS, 백엔드/서버개발, Node.js 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44329002
[TDI그룹] TDI 제주 각 부문 공개 채용,(주)티디아이플레이,경력1년↑학력무관정규직,제주제주시,"Python, Java, AWS, 웹개발, 빅데이터 외 등록일 22/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44078879
[테크사업부] 주니어 백엔드 개발자 (병역특례 가능),매드업,신입·경력대졸↑정규직·전문연구요원,서울서초구,"Python, Java, C++, AWS, 웹개발 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44330222
디자이너(데이터 시각화) 신입/경력 채용공고,얼룩소 주식회사,신입·경력고졸↑정규직,서울성동구,"Python, 데이터시각화, 그래픽디자인, 디지털디자인, 모바일디자인 외 수정일 22/11/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44463757
파이썬 자바 웹 경력직 모집,㈜에스에프테크놀로지,경력 2~5년초대졸↑정규직,서울금천구,"Python, Java, 웹개발, 백엔드/서버개발, 프론트엔드 외 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44460783
빅데이터 플랫폼 SW/데이터엔지니어 신입/경력직 채용,(주)컨셉터스,신입·경력학력무관정규직,서울강남구,"Python, Java, C++, AWS, 웹개발 외 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44376862
국가 R&D 연구과제 수행 / 데이터 분석 / python 채용공고,(재)국제도시물정보과학연구원,경력무관대졸↑정규직,인천연수구,"Python, 학술연구, 데이터분석, R, R&D 외 등록일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44387263
Sr. Back-end Engineer (Python),"(주)브레이브모바일(숨고, Soomgo)",경력 7~20년학력무관정규직,서울전체,"Python, Java, C++, 웹개발, 백엔드/서버개발 외 수정일 22/10/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43919131
로봇 시뮬레이터 Python 개발 경력 채용,(주)매크로액트,경력3년↑대졸↑정규직,경기성남시 중원구,"Python, R, 소프트웨어개발 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465207
웹 백엔드 개발자 (Python),(주)디에스랩글로벌,경력 3~5년학력무관정규직,서울전체,"Python, AWS, 웹개발, 백엔드/서버개발, 머신러닝 외 수정일 22/10/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43672033
"[경력&신입] 빅데이터 솔루션 개발-Python,Java(정규직) 채용",(주)아이티존,신입·경력초대졸↑정규직·프리랜서,대전유성구,"Python, Java, 웹개발, 빅데이터, Linux 외 수정일 22/10/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44131276
Python/Django 백엔드 개발자 (2년 이상),벨루가브루어리(주),경력 2~9년학력무관정규직,서울전체,"Python, AWS, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외 등록일 22/05/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43019654
"[초봉5천] 커머스 백엔드 엔지니어 (Python, Docker)",(주)버즈니,경력 2~12년학력무관정규직,서울전체,"Python, Java, AWS, 웹개발, 빅데이터 외 수정일 22/08/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41527885
Python 모니터링 에이전트 개발자,(주)와탭랩스,경력 2~15년학력무관정규직,서울전체,"Python, Java, AWS, 웹개발, 백엔드/서버개발 외 수정일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43344418
[휴레이] 파이썬 백엔드 개발자 (Python Backend Engineer),(주)휴레이포지티브,경력 4~15년학력무관정규직,서울전체,"Python, Java, AWS, 웹개발, Linux 외 등록일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44330028
"PYTHON,JSP 프론트엔드 개발자 정규/계약 (신입/경력)",클립데이터(주),신입·경력초대졸↑정규직·기간제,서울강서구,"Python, Ajax, Bootstrap, CSS, Django 외 수정일 22/11/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44418690
"C#, Python, JAVA 소프트웨어 개발자 채용 (신입/경력)",(주)미래로시스템,경력무관초대졸↑정규직,경기용인시 기흥구,"Python, Java, C++, Linux, RDBMS 외 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44419414
(주)엔피코어 웹 개발자(C# / Python),(주)엔피코어,경력1년↑대졸↑정규직,서울영등포구,"Python, C++, Linux, 정보보안, 방화벽 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44452152
[KG제로인] 마켓포인트 개발 / 펀드데이터 관리 인재 채용,㈜케이지제로인,신입·경력대졸↑정규직,서울중구,"금융컨설팅, 리서치, 투자분석, 펀드, 금융기관 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44227411
[에이젠글로벌] Python Backend Engineer 직군 모집,(주)에이젠글로벌,경력 3~6년대졸↑정규직,서울전체,"Python, AWS, 웹개발, 백엔드/서버개발, 머신러닝 외 수정일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43897166
"웹개발 경력자 채용 (Python Django, 연봉 업계 최고)",(주)미라클핀테크,경력 5~10년대졸↑정규직,서울전체,"Python, 웹개발, 백엔드/서버개발, 클라우드, 핀테크 외 수정일 21/08/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40925974
"[ SBS아카데미컴퓨터아트학원 대전] 백엔드,풀스택 강사 모집",(주)에스씨에이아카데미대전,경력무관학력무관정규직·프리랜서,대전서구,"Python, Java, C++, 퍼블리셔, C언어 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44203659
산업용 응용 프로그램 제작 가능하신분 채용합니다.,엠에스메카텍,"경력무관초대졸계약직2,400 이상 (면접 후 협의)",부산북구,"펌웨어, 기계 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44251852
[클라우드키친] IT Specialist 채용,테크놀로지인프라스트럭처코리아(유),경력 2~10년학력무관정규직,서울강남구,"Python, 기술지원, 트러블슈팅, VoIP, Windows 외 등록일 22/10/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44302329
[이패스비즈] 파이썬 강사 모집,(주)이패스코리아,경력무관대졸↑프리랜서,서울종로구,"Python, 학원강사, IT강사, 컴퓨터교육, 코딩 외 수정일 22/10/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44293729
"프로그래밍(JAVA, Python) / 디자인 / OA 분야 강사 채용",(주)한국아이티전문학원,경력무관초대졸↑정규직·기간제,충북청주시 상당구,"Python, Java, C++, 웹개발, 빅데이터 외 수정일 22/09/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44031964
[LG그룹] BI/DW파트 데이터 엔지니어 채용,(주)비즈테크아이,경력 1~15년초대졸↑정규직·계약직,서울마포구,"Python, AWS, 빅데이터, 데이터엔지니어, 클라우드 외 수정일 22/10/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44182934
Business Analyst(2년 이상),(주)이제이엔,경력 3~8년학력무관정규직,서울전체,"Python, 빅데이터, 머신러닝, 딥러닝, 데이터분석가 외 수정일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42806488
알고리고에서 머신러닝 엔지니어를 모십니다,(주)알고리고,신입·경력대졸↑정규직·전문연구요원,서울강남구,"Python, C++, 빅데이터, 머신러닝, 딥러닝 외 등록일 22/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44084947
